"EAST","NORTH","ELEV","AREA","CU","ZN","MO","FE"
3539.53,5154.55,3990.5,94,0.42,0.02,0.072,3.53
3543.06,5151.02,3990.5,94,0.09,0.02,0.07,1.4
3472.35,5228.8,3990.5,174,0.53,0.13,0.164,12.6
3475.89,5225.26,3990.5,174,0.51,0.11,0.181,12.64
3479.42,5221.73,3990.5,174,0.4,0.09,0.144,13.28
3482.96,5218.19,3990.5,174,1.21,0.28,0.091,15.49
3486.49,5214.66,3990.5,174,1.34,0.35,0.036,18.73
3490.03,5211.12,3990.5,174,1.33,0.37,0.025,18.35
3493.57,5207.58,3990.5,174,2.21,0.19,0.035,17.87
3497.1,5204.05,3990.5,474,1.76,0.24,0.042,16.93
3500.64,5200.51,3990.5,474,1.76,0.14,0.052,15.22
3504.17,5196.98,3990.5,474,0.33,0.07,0.052,12.98
3507.71,5193.44,3990.5,474,0.36,0.03,0.061,11.48
3511.24,5189.91,3990.5,474,0.33,0.03,0.071,7.8
3514.78,5186.37,3990.5,474,1.16,0.03,0.073,6.31
3518.31,5182.84,3990.5,474,1.18,0.02,0.073,5.07
3521.85,5179.3,3990.5,368,0.12,0.02,0.069,1.58
3525.39,5175.77,3990.5,368,0.11,0.02,0.07,1.62
3528.92,5172.23,3990.5,368,0.11,0.02,0.071,1.49
3532.46,5168.69,3990.5,365,0.09,0.01,0.066,1.3
3535.99,5165.16,3990.5,365,0.09,0.01,0.061,1.31
3539.53,5161.62,3990.5,365,0.08,0.01,0.061,1.29
3543.06,5158.09,3990.5,94,0.27,0.01,0.074,2.76
3546.6,5154.55,3990.5,94,0.09,0.01,0.08,1.42
3475.89,5232.33,3990.5,174,2.4,0.1,0.074,13.87
3479.42,5228.8,3990.5,174,1.07,0.1,0.141,16.02
3482.96,5225.26,3990.5,174,1.36,0.1,0.159,14.64
3486.49,5221.73,3990.5,174,1.65,0.19,0.093,17.05
3490.03,5218.19,3990.5,174,1.98,0.24,0.033,20.65
3493.57,5214.66,3990.5,174,2.2,0.18,0.036,18.53
3497.1,5211.12,3990.5,174,1.84,0.17,0.034,18.09
3500.64,5207.58,3990.5,474,1.67,0.24,0.05,17.22
3504.17,5204.05,3990.5,474,1.6,0.16,0.068,15.62
3507.71,5200.51,3990.5,474,1.79,0.11,0.07,13.73
3511.24,5196.98,3990.5,474,0.37,0.04,0.077,10.75
3514.78,5193.44,3990.5,474,0.42,0.03,0.1,5.64
3518.31,5189.91,3990.5,474,0.37,0.03,0.084,5.49
3521.85,5186.37,3990.5,474,0.36,0.02,0.075,5.02
3525.39,5182.84,3990.5,368,0.34,0.02,0.067,1.46
